RID,Act ID,"Establishment Name
Site City-State-Zip",County,Primary/Site NAICS,Receipt Date,Receipt Type,Formality,Insp ID,Addl' Code,Hazard Desc and Location,No Alleged Hazards/No Emp Exposed,weight,Industry_code
01-120-00,C-1554340,"Beacon Hospice Care
1111 Flanders Road, #1803, EAST HARTFORD, CONNECTICUT, 06108",HARTFORD,"621610 /
621610",2020-03-17,Phone,Nonformal,,N-16-COVID-19: ,"The employer had not instituted any policies or practices to reduce employees' exposure to COVID-19.  Nurses who conduct home visits are not provided with personal protective equipment such as masks.  Also, personal protective equipment is not provided to nurses who meet with and console family members of clients.","1/
20",1,62
01-120-00,C-1554350,"R+L Carriers
540 Sullivan Avenue, SOUTH WINDSOR, CONNECTICUT, 06074",HARTFORD,"484110 /
484110",2020-03-17,Phone,Nonformal,,N-16-COVID-19: ,Employees are being asked to clean the work area to address COVID-19 concerns.  They are not provided with personal protective equipment or training.,"1/
10",1,48
01-120-00,C-1554353,"CT Transit
Various locations throughout the Hartford area, HARTFORD, CONNECTICUT, 06120",HARTFORD,"485210 /
485210",2020-03-18,Phone,Nonformal,,N-16-COVID-19: ,"Employees are working in close proximity with the public and have not been provided any protection with regard to coronavirus.  Several employees have become ill.

In your response, please provide information on how you are addressing social distancing, following local guidance on reducing number of people in a space, disinfection practices, and training for your employees.","1/
100",1,48
01-120-00,C-1554354,"H.N.S. Management Company, Inc. DBA CTTRANSIT
100 Leibert Road, HARTFORD, CONNECTICUT, 06120",HARTFORD,"485210 /
485210",2020-03-17,Phone,Nonformal,,N-16-COVID-19: ,"Although the company is cleaning buses more frequently, no training or personal protective equipment has been provided to bus drivers regarding COVID-19.","1/
100",1,48
01-120-00,C-1554387,"Home Goods Distribution
1415 Blue Hills Avenue, BLOOMFIELD, CONNECTICUT, 06002",HARTFORD,"452910 /
452910",2020-03-18,Phone,Nonformal,,N-16-COVID-19: ,"Employees have not been provided any protection with regard to coronavirus. Several employees have become ill. 
 
In your response, please provide information on how you are addressing social distancing, following local guidance on reducing number of people in a space, disinfection practices, and training for your employees.
","1/
25",1,45
01-120-00,C-1554647,"Newport Academy
64 Double Hill Road, BETHLEHEM, CONNECTICUT, 06751",LITCHFIELD,"621420 /
621420",2020-03-18,Online,Formal,,N-16-COVID-19: ,"Employees have not been provided with Appropriate personal protective equipment or disinfectants to minimize exposure to coronavirus.

In your response, please provide information on how you are addressing social distancing, following local guidance on reducing number of people in a space, disinfection practices, and training for your employees.","/
",1,62
01-120-00,C-1555915,"National Research Associates, Inc.
2138 Silas Deane Highway, ROCKY HILL, CONNECTICUT, 06067",HARTFORD,"541820 /
541820",2020-03-20,Phone,Nonformal,,N-16-COVID-19: ,An employee has been working in the office who was exhibiting flu-like symptoms and who had been around two people who tested positive for COVID-19.  The employee has since stayed at home and been tested.  Employees had been instructed not to discuss the situation and the company has not done anything to inform employees of the potential exposure and has not taken other measures.,"1/
18",1,54
01-120-00,C-1556028,"Vetco Mobile Clinic
Vetco c/o Petco, 760 Queen Street, SOUTHINGTON, CONNECTICUT, 06489",HARTFORD,"541940 /
541940",2020-03-20,Phone,Nonformal,,N-16-COVID-19: ,"1.  Employees operate a mobile vaccination clinic for dogs & cats.  The company has not instituted adequate procedures for employees to interact with the general public during the COVID-19 outbreak.  Employees deal with 30-50 clients per day, including family groups of 3-5 people.  Employees are not provided with proper handwashing facilities, only alcohol and swabs.  ","1/
4",1,54
01-120-00,C-1556355,"The Stonington Institiute
75 Swanton Hill Road, STONINGTON, CONNECTICUT, 06378",NEW LONDON,"623220 /
623220",2020-03-23,Online,Nonformal,,N-16-COVID-19: ,"1. No social distancing
2. Rooms are not being sanitized between groups
3. Staff are being medically evaluated for their temperature, clients are not.","1/
20",1,62
01-120-00,C-1556478,"UPS
8 Mountain View Road, WATERTOWN, CONNECTICUT, 06795",LITCHFIELD,"484220 /
484220",2020-03-23,Phone,Nonformal,,N-16-COVID-19: ,"1. No social distancing
2. On cleaning, no gloves, no masks ","1/
50",1,48
01-120-00,C-1556618,"Key Bank
923 Main Street , MANCHESTER, CONNECTICUT, 06040",HARTFORD,"522110 /
522110",2020-03-23,Phone,Nonformal,,N-16-COVID-19: ,"1. No social distancing
2. No protection, no gloves, no masks ","1/
3",1,52
01-120-00,C-1557175,"Rich Products Corporation
1 Celebration Way, NEW BRITAIN, CONNECTICUT, 06053",HARTFORD,"311520 /
311520",2020-03-23,Phone,Nonformal,,N-16-COVID-19: ,"1. Employees are being exposed to illness without any precautions being taken by the employer, i.e., social distancing, masks, gloves, hand sanitizer. 
","1/
300",1,31
01-120-00,C-1557264,"Plainville Plating Company, Incorporated
21 Forrestville Avenue, PLAINVILLE, CONNECTICUT, 06062",HARTFORD,"332813 /
332813",2020-03-24,Phone,Nonformal,,N-16-COVID-19: ,"Employees are concerned about the lack of social distancing, lack of personal protective equipment, and other employees remaining at work when showing signs and symptoms of being ill. ","1/
45",1,33
01-120-00,C-1558306,"Norwichtown Veterinary Hospital
177 Otrobando Ave, NORWICH, CONNECTICUT, 06360",NEW LONDON,"541940 /
541940",2020-03-25,Phone,Nonformal,,N-16-COVID-19: ,Employees are not properly equipped with adequate personal protection from COVID-19 and are not practicing proper social distancing guidelines.,"1/
11",1,54
01-120-00,C-1559707,"Grandview Rehabilitation Center DBA Parkside Rehabilitation and Healthcare Center Llc
55 Grand Street, NEW BRITAIN, CONNECTICUT, 06052",HARTFORD,"623110 /
623110",2020-03-26,Online,Nonformal,,N-16-COVID-19: ,"Management withholding necessary protective supplies from staff, i.e. N95 masks regular masks and personal protective equipment, to minimize exposure to coronavirus.

In your response, please provide information on how you are addressing social distancing, following local guidance on reducing number of people in a space, disinfection practices, and training for your employees.
","1/
20",1,62
01-120-00,C-1560772,"SunRun, Inc.
75 Brainard Road, HARTFORD, CONNECTICUT, 06114",HARTFORD,"238220 /
238220",2020-03-29,Online,Nonformal,,N-16-COVID-19: ,"An employee tested positive for Covid-19 and employee was still allowed to continue to work exposing employees and clients.
 
In your response, please provide information on how you are addressing social distancing; following CDC, State, and local guidance on reducing number of people in a space; disinfection practices; and training for your employees. ","1/
12",1,23
01-120-00,C-1560973,"Superior Bakery
72 Main Street, NORTH GROSVENORDALE, CONNECTICUT, 06255",WINDHAM,"445291 /
445291",2020-03-29,Hotline,Nonformal,,N-16-COVID-19: ,"1.  The employer does not provide sanitizers, masks, or gloves for employees;

2.  Employees living with family members who have the corona virus are allowed to work at establishment.

In your response, please provide information on how you are addressing social distancing; following CDC, State, and local guidance on reducing number of people in a space; disinfection practices; and training for your employees. ","1/
11",1,44
01-120-00,C-1561047,"Downes Construction Company
Garfield Street, NEWINGTON, CONNECTICUT, 06111",HARTFORD,"238990 /
238990",2020-03-27,Hotline,Nonformal,,N-16-COVID-19: ,"1.  There are no sanitizers or toilet paper on site.  Employees are stealing them from the site.

2.  Employees are working close to each other on the construction site.

In your response, please provide information on how you are addressing social distancing; following CDC, State, and local guidance on reducing number of people in a space; disinfection practices; and training for your employees.","1/
40",1,23
01-120-00,C-1562229,"Manchester Molding & Mfg. Co., Inc.
96 Sheldon Road, MANCHESTER, CONNECTICUT, 06042",HARTFORD,"333249 /
333249",2020-03-31,Phone,Nonformal,,N-16-COVID-19: ,"1.  The restrooms are not maintained in sanitary condition;

2.  The company is not following CDC guidelines including social distancing.

In your response, please provide information on how you are addressing social distancing; following CDC, State, and local guidance on reducing number of people in a space; disinfection practices; and training for your employees.","2/
17",1,33
01-120-00,C-1562508,"Terryville Chevrolet
302 Main Street, TERRYVILLE, CONNECTICUT, 06786",LITCHFIELD,"441110 /
441110",2020-03-31,Phone,Nonformal,,N-16-COVID-19: ,"1.  The dealership is open for business and is not limiting the number of customers in the building, reducing the exposure to and the spreading of the Covid-19 virus.

2.  The employer is not providing any personal protection equipment such as gloves and sanitizers nor is following social distancing protocols.

In your response, please provide information on how you are addressing social distancing; following CDC, State, and local guidance on reducing number of people in a space; disinfection practices; and training for your employees. ","1/
32",1,44
01-120-00,C-1562567,"Kellogg Marine
5 Enterprise Drive, OLD LYME, CONNECTICUT, 06371",NEW LONDON,"424990 /
424990",2020-03-31,Online,Nonformal,,N-16-COVID-19: ,"The employer has not instituted social distancing on night shift.  The employer does not follow CDC guidelines of sanitizing and of wearing gloves.

In your response, please provide information on how you are addressing social distancing; following CDC, State, and local guidance on reducing number of people in a space; disinfection practices; and training for your employees.","1/
5",1,42
01-120-00,C-1563767,"U.S. Postal Service
141 Weston Street, HARTFORD, CONNECTICUT, 06141",HARTFORD,"491110 /
491110",2020-04-02,Phone,Nonformal,,N-16-COVID-19: ,"The employer is not following CDC guidelines including social distancing and cleaning and sanitizing the work place.  An employee was tested positive for the Covid-19 virus and no sanitizing of the work place was conducted.

In your response, please provide information on how you are addressing social distancing; following CDC, State, and local guidance on reducing number of people in a space; disinfection practices; and training for your employees.","1/
35",1,49
01-120-00,C-1564068,"Bestech, Inc.
25 Pinney Street, ELLINGTON, CONNECTICUT, 06029",TOLLAND,"562910 /
562910",2020-04-02,Hotline,Nonformal,,N-16-COVID-19: ,"Numerous employees were hospitalized with the Covid-19 virus and employees are continuing to work.  The company is not practicing CDC guidelines such as social distancing and sanitizing the work areas.

In your response, please provide information on how you are addressing social
distancing; following CDC, State, and local guidance on reducing number of people in a
space; disinfection practices; and training for your employees.","1/
17",1,56
01-120-00,C-1564088,"Staffmark
330 Stone Road, WINDSOR, CONNECTICUT, 06095",HARTFORD,"561311 /
561311",2020-04-02,Online,Nonformal,,N-16-COVID-19: ,"The employer is not utilizing social distancing to help protect employees from the Covid-19 virus.

In your response, please provide information on how you are addressing social
distancing; following CDC, State, and local guidance on reducing number of people in a
space; disinfection practices; and training for your employees.","1/
18",1,56
01-120-00,C-1564178,"U.S. Postal Service
135 Chestnut Street, NEW BRITAIN, CONNECTICUT, 06050",HARTFORD,"491110 /
491110",2020-04-02,Phone,Nonformal,,N-16-COVID-19: ,"1. The restrooms are not maintained in sanitary condition; 

2. The company is not following CDC guidelines including social distancing and sanitizing work areas.  An employee tested positive for the Covid-19 virus and no sanitizing was done.

In your response, please provide information on how you are addressing social distancing; following CDC, State, and local guidance on reducing number of people in a space; disinfection practices; and training for your employees.","2/
33",1,49
01-120-00,C-1565647,"Plainville Plating Company Inc.
21 Forestville Avenue, PLAINVILLE, CONNECTICUT, 06062",HARTFORD,"332813 /
332813",2020-04-03,Online,Nonformal,,N-16-COVID-19: ,"1. Employees are working with no masks or protection from coughing.
2. Employees are working closer than 6 ft from each other. 
","1/
25",1,33
01-120-00,C-1565765,"Hartford Hospital
80 Seymour Street, HARTFORD, CONNECTICUT, 06106",HARTFORD,"622110 /
622110",2020-04-05,Online,Nonformal,,N-16-COVID-19: ,"1. Medical staff are being asked to wear the same N95 mask for three days when treating COVID 19 patients. 

2. Staff on non-COVID units are only given one surgical mask that must be used until it is completely damp, damaged, or unusable. 

3. Safe and adequate PPE is not being provided to employees. 

","1/
50",1,62
01-120-00,C-1566075,"Family Dollar
426 Park Street , HARTFORD, CONNECTICUT, 06106",HARTFORD,"452990 /
452990",2020-04-03,Hotline,Nonformal,,N-16-COVID-19: ,"1. Employees are being told not to wear masks. 

2. Social distancing not being observed by limiting the number of customers in the store.

3. Employees are not wearing any other type of personal protective equipment. 

In your response, please address how you are complying with CDC guidelines, why employees are not allowed to wear masks, why social distancing is not being observed by limiting the number of customers in the store at one time, and why employees do not have access to masks or gloves.","1/
5",1,45
01-120-00,C-1566167,"CRESCENT MANUFACTURING
700 GEORGE WASHINGTON TURNPIKE, BURLINGTON, CONNECTICUT, 06013",HARTFORD,"332722 /
332722",2020-04-06,Phone,Nonformal,,N-16-COVID-19: ,"1. After a suspected case of COVID-19 virus, public areas such as the break room were not properly sanitized. 

","1/
50",1,33
01-120-00,C-1566237,"Unitex Textile Rental Services
121-123 Meadow Street, HARTFORD, CONNECTICUT, 06114",HARTFORD,"314999 /
314999",2020-04-06,Phone,Nonformal,,N-16-COVID-19: ,1. Employee complaint and concern of having access to only one mask a day per shift. ,"1/
50",1,31
01-120-00,C-1566870,"Lowes Distribution Center
1421 Lowes Way, PLAINFIELD, CONNECTICUT, 06374",WINDHAM,"444110 /
444110",2020-04-07,Phone,Nonformal,,N-16-COVID-19: ,"1. Social distancing not being observed/enforced.

2. Personal protective equipment, gloves and masks not available for employees. 

3. Employee concerns about sanitizing of general areas such as break areas and bathrooms. ","1/
150",1,44
01-120-00,C-1567078,"Dollar Tree Distribution, Inc.
99 International Drive, WINDSOR, CONNECTICUT, 06095",HARTFORD,"493110 /
493110",2020-04-07,Phone,Nonformal,,N-16-COVID-19: ,"1. Employee concern about bringing in new employees without verifying COVID-19 status.
2. Employee concern about the lack of social distancing in break areas, bathrooms, and work areas.
3. Hand sanitizer, masks, and gloves not available for employee use. 
4. There is a lack of information about COVID-19 in the workplace for employees. 
5. Employee concern about the lack of sanitizing measures being taken in areas such as, the break areas, bathrooms, and work areas. 
","1/
30",1,49
01-120-00,C-1568120,"Cigna
900 Cottage Grove Road, BLOOMFIELD, CONNECTICUT, 06002",HARTFORD,"524114 /
524114",2020-04-08,Online,Formal,,N-16-COVID-19: ,"Employees in the Wilde Building mailroom have been potentially exposed to COVID-19.

In your response, please provide information on how you are addressing social distancing, following local guidance on reducing number of people in a space, disinfection practices, and training for your employees.","/
",1,52
01-120-00,C-1568163,"Newport Academy
64 Double Hill Road, BETHLEHEM, CONNECTICUT, 06751",LITCHFIELD,"621420 /
621420",2020-04-07,Email,Formal,,N-16-COVID-19: ,"1.  PPE Kits, containing one pair of gloves, one gown, one mask, and one pair of shoe covers are in limited supply and locked away.  Employees are told not to use them.

2.  Care Coordinators are not provided masks by the company - they are told to distance themselves, however, they directly care for the clients.

3.  Clients do not have access to masks and do not distance themselves.  They frequently cough onto others.

4.  Nurses are provided with one medical mask per day.  They are being instructed to wash the masks with soap and water and reuse them.

5.  There are no N95 masks on campus.

6.  There are not enough masks for all of the staff (30-40 people).

7.  No face shields or goggles are available to the staff.

8.  They allow cloth masks, but are continuing to take admissions from NYC, Westport and other highly infected areas.

9.  The Screening Process for admissions and staff is minimally effective and medical staff has been diagnosing symptomatic clients with allergies, respiratory infections or colds without testing for COVID 19
","/
",1,62
01-120-00,C-1568478,"Jet Blue Airways
11 Schoephoester Road, WINDSOR LOCKS, CONNECTICUT, 06096",HARTFORD,"481111 /
481111",2020-04-09,Online,Nonformal,,N-16-COVID-19: ,"Every ground operations crewmember shares the same face shield to dump the aircraft lavatories.

In your written response, please indicate what measures are being taken to ensure that employees are not exposed to communicable disease through unsafe work practices. ","1/
20",1,48
01-120-00,C-1568493,"Electric Boat Corporation
75 Eastern Point Road, GROTON, CONNECTICUT, 06340",NEW LONDON,"336611 /
336611",2020-04-09,Phone,Nonformal,,N-16-COVID-19: ,"1. No social distancing
2. No masks 
3. No gloves
4. No medical evaluation such as temperatures being taken prior to entry onto the base. 

In your written response, please indicate what measures you have taken to prevent the spread of communicable disease among employees. Specifically, social distancing, PPE, and medical screening of employees. ","1/
17,000",1,33
01-120-00,C-1568558,"United Natural Foods, Inc.
260 Lake Road, DAYVILLE, CONNECTICUT, 06241",WINDHAM,"424490 /
424490",2020-04-09,Online,Nonformal,,N-16-COVID-19: ,"1. No Social distancing
2. No masks available for employees 
3. No gloves available for employees 

In your written response, please indicate what measures have been taken to reduce employee exposure to communicable diseases. Specifically, what has been done for social distancing and the issuance of PPE. 
","1/
25",1,42
01-120-00,C-1569566,"H.N.S. MANAGEMENT, INC./CONNECTICUT TRANSIT
100 LEIBERT ROAD, HARTFORD, CONNECTICUT, 06141",HARTFORD,"485113 /
485113",2020-04-10,Online,Nonformal,,N-16-COVID-19: ,"Employee has a concern regarding cleaning the drivers area of the buses. Employee conveyed that he/she was told not to clean the drivers area because doing so will counteract cleaning that the company is doing. The employee does not believe the drivers area of the buses are adequately cleaned. 

In your written response, please indicate whether or not the drivers areas of the buses are being cleaned, by whom, and with what are they being cleaned. ","1/
25",1,48
01-120-00,C-1569630,"QSR Steel Corporation
300 Locust Street, HARTFORD, CONNECTICUT, 06114",HARTFORD,"238120 /
238120",2020-04-10,Phone,Nonformal,,N-16-COVID-19: ,"Employee complaint of lack of social distancing, lack of masks, and lack of gloves. Employee also concerned about exposure to co-workers that may have communicable disease. 

In your written response, please indicate what is currently in place and what actions you plan to take to mitigate the alleged lack of social distancing, lack of PPE, and the concern employees have with being exposed to someone with a communicable disease. ","1/
30",1,23
01-120-00,C-1573461,"Donation Line LLC
61 Main Street, Suite F, HEBRON, CONNECTICUT, 06248",TOLLAND,"813312 /
813312",2020-04-17,Phone,Nonformal,,N-16-COVID-19: ,"Employees have not been provided with appropriate personal protective equipment or disinfectants to minimize exposure to coronavirus. 
 
In your response, please provide information on how you are addressing social distancing, following local guidance on reducing number of people in a space, disinfection practices, and training for your employees.
","1/
5",1,81
01-120-00,C-1574086,"Valero Gas Station
1053 Farmington Avenue, BRISTOL, CONNECTICUT, 06010",HARTFORD,"447110 /
447110",2020-04-20,Online,Nonformal,,N-16-COVID-19: ,"Employees are not provided masks, gloves or hand sanitizer. 

In your response, please provide information on how you are addressing social distancing; following CDC, State, and local guidance on reducing number of people in a space; disinfection practices; personal protective equipment (PPE) and training for your employees. ","1/
1",1,44
01-120-00,C-1574204,"Grandview Rehabilitation Center
55 Grand Street, NEW BRITAIN, CONNECTICUT, 06052",HARTFORD,"622310 /
622310",2020-04-20,Online,Nonformal,,N-16-COVID-19: ,"Employees are not provided adequate Personal Protective Equipment (PPE) when handling patients who may be infected with the COVID-19 virus.
 
In your response, please provide information on how you are addressing social distancing; following CDC, State, and local guidance on reducing number of people in a space; disinfection practices; and training for your employees. 
","1/
1",1,62
01-120-00,C-1574312,"Edible Arrangements
230 Broad Street, MANCHESTER, CONNECTICUT, 06040",HARTFORD,"722211 /
722211",2020-04-20,Online,Nonformal,,N-16-COVID-19: ,"Employees are not provided Personal Protective Equipment (PPE) to protect them from COVID-19.

In your written response, please provide information on how you are addressing social distancing; following CDC, State, and local guidance on reducing number of people in a space; disinfection practices; Personal Protective Equipment (PPE) and training for your employees.","1/
1",1,72
01-120-00,C-1576456,"Unfi-Capstone
260 Lake Road, DAYVILLE, CONNECTICUT, 06241",WINDHAM,"493110 /
493110",2020-04-22,Online,Nonformal,,N-16-COVID-19: ,"An employee tested positive for Covid-19 and employees were still allowed to continue to work exposing employees and clients. 
 
In your response, please provide information on how you are addressing social distancing; following CDC, State, and local guidance on reducing number of people in a space; disinfection practices; and training for your employees
","1/
1",1,49
01-120-00,C-1576509,"Institute of Living
200 Retreat Avenue, HARTFORD, CONNECTICUT, 06103",HARTFORD,"622210 /
622210",2020-04-22,Online,Nonformal,,N-16-COVID-19: ,"Employees are not provided personal protective equipment (PPE) while in contact with patients who may be infected with the COVID-19 virus.

In your response, please provide information on how you are addressing social distancing; following CDC, State, and local guidance on reducing number of people in a space; disinfection practices; and training for your employees. ","1/
1",1,62
01-120-00,C-1577897,"Beekley Medical
1 Prestige Lane, BRISTOL, CONNECTICUT, 06010",HARTFORD,"622110 /
622110",2020-04-24,Phone,Nonformal,,N-16-COVID-19: ,"Employees are not provided Personal Protective Equipment (PPE) nor required to practice social distancing which may be exposing them to the COVID-19 virus.
 
In your response, please provide information on how you are addressing social distancing; following CDC, State, and local guidance on reducing number of people in a space; disinfection practices; and training for your employees. 
","1/
1",1,62
01-120-00,C-1578533,"Stephen AutoMall Centre
1097 Farmington Avenue, BRISTOL, CONNECTICUT, 06010",HARTFORD,"441110 /
441110",2020-04-27,Online,Nonformal,,N-16-COVID-19: ,"1. No actions being taken to protect employees or customers from COVID-19.
2. Not following CDC guidelines or State government mandates. 

In your response, please indicate what the business is doing to protect employees from COVID-19, such as, the use of masks, gloves and following social distancing guidelines as outlined by the CDC. ","1/
30",1,44
01-120-00,C-1578663,"USPS
185 East Elm Street, TORRINGTON, CONNECTICUT, 06790",LITCHFIELD,"491110 /
491110",2020-04-27,Phone,Nonformal,,N-16-COVID-19: ,"1. Complaint that gloves and masks are available; however, they are not being used by everyone.
2. Complaint that social distancing is not being observed inside the working area of the post office. 

In your response, please indicate whether or not masks and gloves are being used in accordance with CDC guidelines.  Also, please indicate whether or not social distancing is being observed and if not, for what reason. ","1/
10",1,49
01-120-00,C-1578809,"Parkville Care Center
5 GREENWOOD STREET, HARTFORD, CONNECTICUT, 06106",HARTFORD,"623110 /
623110",2020-04-27,Phone,Nonformal,,N-16-COVID-19: ,"A complaint was received stating that two workers that had tested positive for COVID-19 were told to come to work after their diagnoses. 

In your response, please indicate what protocols are being followed for employees that test positive for COVID-19. ","1/
10",1,62
01-120-00,C-1578888,"Partner Pharmacy
6 Thompson road, EAST WINDSOR, CONNECTICUT, 06088",HARTFORD,"446110 /
446110",2020-04-24,Email,Nonformal,,N-16-COVID-19: ,"An Employee tested positive for COVID 19.  The store manager did not allow employees to go home or work from home. 
","1/
5",1,44
01-120-00,C-1579008,"Law Offices Howard Lee Schiff, P.C.
111 Founders Plaza, 19th Floor, EAST HARTFORD, CONNECTICUT, 06108",HARTFORD,"541199 /
541199",2020-04-27,Phone,Nonformal,,N-16-COVID-19: ,"OSHA received an anonymous complaint alleging that there are no masks available for employees, social distancing is not being practiced, and that proper sanitizing is not being done. 

In your response, please indicate how you are in compliance with the CDC guidelines for the complaints listed above. If you are not currently in compliance with the CDC guidelines for COVID-19, please indicate what actions will be taken to ensure you are. ","1/
20",1,54
01-120-00,C-1579512,"Kellogg Marine Supply
5 Enterprise Drive, OLD LYME, CONNECTICUT, 06371",NEW LONDON,"424990 /
424990",2020-04-27,Phone,Nonformal,,N-16-COVID-19: ,"There is a complaint of the lack of social distancing between employees, lack of masks for employees, and lack of proper sanitizing. 

In your response, please indicate how you are following CDC guidelines and if you're not following CDC guidelines, please explain what is precluding you from doing so. ","1/
20",1,42
01-120-00,C-1579540,"Eagle Manufacturing Company, Inc.
13 Homonick Road, COLCHESTER, CONNECTICUT, 06415",NEW LONDON,"331210 /
331210",2020-04-27,Online,Nonformal,,N-16-COVID-19: ,"The employee alleged a positive case of Covid-19 was reported at the work place.  
The employee alleged that the work place is still operational. ","1/
25",1,33
01-120-00,C-1579641,"Home Depot
115 Putnam Boulevard, GLASTONBURY, CONNECTICUT, 06033",HARTFORD,"444130 /
444130",2020-04-27,Online,Nonformal,,N-16-COVID-19: ,An employee alleged that management allowed too many people into the store.,"1/
100",1,44
01-120-00,C-1579762,"Natchaug Hospital, Inc.
189 Storrs Road, MANSFIELD CENTER, CONNECTICUT, 06250",TOLLAND,"622210 /
622210",2020-04-28,Email,Nonformal,1476019.0,N-16-COVID-19: ,Staff in the Adult Unit are not provided with face shields or N-95 masks to care for a patient in isolation who was admitted on 4/19/2020 after the patient was exposed to a confirmed COVID-19 positive case. There is believed to be 30 employees who may have been exposed since the patient was admitted. The patient developed symptoms on 4/24 and was put in isolation on 4/25. ,"1/
50",1,62
01-120-00,C-1579783,"ELG Utica Alloys (Hartford), Inc.
239 West Service Road, HARTFORD, CONNECTICUT, 06120",HARTFORD,"423930 /
423930",2020-04-28,Phone,Nonformal,,N-16-COVID-19: ,"Complaint of lack of masks for employees, lack of social distancing, and lack of hand sanitizer.  

In your response, please indicate how you are complying with the CDC guidelines and if you are not in compliance please describe the reasons why.","1/
20",1,42
01-120-00,C-1580346,"Exela Technologies
758 Rainbow Road, WINDSOR, CONNECTICUT, 06095",HARTFORD,"518210 /
518210",2020-04-27,Phone,Nonformal,,N-16-COVID-19: ,"There are complaints of the lack of proper ventilation, lack of masks and masks not being worn properly, lack of social distancing, and improper sanitizing of the work areas. 

In your response, please provide information on how you are addressing social distancing; following CDC, State, and local guidance on reducing number of people in a space; disinfection practices; personal protective equipment (PPE) and training for your employees.","1/
30",1,51
01-120-00,C-1580383,"UNITEX TEXTILE RENTAL SERVICES
420 LEDYARD STREET/121-123 MEADOW STREET, HARTFORD, CONNECTICUT, 06114",HARTFORD,"314999 /
314999",2020-04-28,Phone,Nonformal,,N-16-COVID-19: ,"Complaint of lack of social distancing, lack of masks for employees, and lack of proper sanitizing of work areas. 

In your response, please provide information on how you are addressing social distancing; following CDC, State, and local guidance on reducing number of people in a space; disinfection practices; personal protective equipment (PPE) and training for your employees.","1/
15",1,31
01-120-00,C-1580428,"Noank Community Support Services, Inc.
306 Thames Street, GROTON, CONNECTICUT, 06340",NEW LONDON,"624190 /
624190",2020-04-29,Hotline,Nonformal,,N-16-COVID-19: ,"Complaint of not following CDC guidelines for social distancing, masks, and proper cleaning supplies. 

In your response, please provide information on how you are addressing social distancing; following CDC, State, and local guidance on reducing number of people in a space; disinfection practices; personal protective equipment (PPE) and training for your employees. ","1/
50",1,62
01-120-00,C-1580691,"ABM
450 Columbus Blvd., HARTFORD, CONNECTICUT, 06103",HARTFORD,"561720 /
561720",2020-04-29,Phone,Nonformal,,N-16-COVID-19: ,"Complaint of lack communication regarding COVID-19 guidelines and procedures. Also, lack of social distancing, masks, gloves, and proper sanitization procedures. 

In your response, please provide information on how you are addressing social distancing; following CDC, State, and local guidance on reducing number of people in a space; disinfection practices; personal protective equipment (PPE) and training for your employees.","1/
20",1,56
01-120-00,C-1581129,"The Arc of the Farmington Valley
351 Main Street, FARMINGTON, CONNECTICUT, 06032",HARTFORD,"624120 /
624120",2020-04-30,Phone,Nonformal,,N-16-COVID-19: ,"Complaint of having to share face shield, having the wrong masks, lack of COVID-19 communication from management, improper sanitizing, and lack of social distancing. 

In your response, please provide information on how you are addressing social distancing; following CDC, State, and local guidance on reducing number of people in a space; disinfection practices; personal protective equipment (PPE) and training for your employees.","1/
10",1,62
01-120-00,C-1581309,"Natchaug Hospital, Inc.
189 Storrs Road, MANSFIELD CENTER, CONNECTICUT, 06250",TOLLAND,"622210 /
622210",2020-04-30,Email,Nonformal,1476019.0,N-16-COVID-19: ,"1) Staff not provided with PPE including N95s and face shields while handling a patient presenting symptoms related to COVID-19. Staff was not made aware of a patient being tested for COVID-19 prior to arriving into the facility resulting in staff unknowingly handling him/her without any PPE. Additionally, patients that exhibit positive symptoms are not given a mask to prevent infecting others and staff are not provided with respiratory protection while handling these patients or when cleaning the potentially infected surfaces of equipment used in patient rooms. 

2) A suspected COVID-19 positive patient was freely walking around the facility and placed in a room with three other patients at the facility. The hospital brought census back up to full capacity preventing them from isolating COVID-19 patients due to the lack of available rooms.

3) The facility is running low on disinfectant wipes potentially exposing staff and patients to contaminated surfaces.
","3/
100",1,62
01-120-00,C-1581962,"COLT MANUFACTURING, LLC
545 NEW PARK AVENUE, WEST HARTFORD, CONNECTICUT, 06110",HARTFORD,"332994 /
332994",2020-05-01,Phone,Nonformal,,N-16-COVID-19: ,"Lack of communication with employees related to positive COVID-19 cases within the facility, lack of masks, lack of social distancing, and lack of hand sanitizer in dispensers.  

In your response, please provide information on how you are addressing social distancing; following CDC, State, and local guidance on reducing number of people in a space; disinfection practices; personal protective equipment (PPE) and training for your employees.","1/
50",1,33
01-120-00,C-1581980,"William W. Backus Hospital
326 Washington Street, NORWICH, CONNECTICUT, 06360",NEW LONDON,"622110 /
622110",2020-05-01,Email,Nonformal,,N-16-COVID-19: ,"Healthcare workers are not provided with respiratory protection by the hospital when handling confirmed and suspected COVID-19 cases. Additionally, suspected/confirmed patients are not required to wear face masks to prevent the spread to workers and other occupants from becoming infected.","1/
200",1,62
